2026-05-22 08:40:06 | INFO     | === 标注完成，共处理 0 条 ===
2026-05-22 09:55:26 | INFO     | [标注] 待处理 447 条SPOT
2026-05-22 09:55:26 | INFO     | SPOT: 江北北联天地 | 江苏省/南京市/浦口区/盘城街道
2026-05-22 09:56:02 | INFO     | [高德] 名称搜索已禁用
2026-05-22 09:56:52 | INFO     | [入库] poi_id=0005476b-03e8-462d-a2d0-efd5c36e02fe 国企平台/二级子公司 rgb(255,187,51)/220000
2026-05-22 09:56:52 | INFO     | [记录] {"affiliation": ["国企平台", "商业服务"], "point_type": ["二级子公司", "商业综合体"]}
2026-05-22 09:56:52 | INFO     | SPOT: 凌空SOHO | 上海市/市辖区/长宁区/新泾镇
2026-05-22 09:56:53 | INFO     | [高德] 名称搜索已禁用
2026-05-22 09:57:34 | INFO     | [入库] poi_id=016857b8-3221-441d-ab80-d332141546b0 商业服务/写字楼 rgb(51,187,255)/210000
2026-05-22 09:57:34 | INFO     | [记录] 
2026-05-22 09:57:34 | INFO     | SPOT: 武警江苏省总队（副军级） | 江苏省/南京市/建邺区/双闸街道
2026-05-22 09:57:34 | INFO     | [高德] 名称搜索已禁用
2026-05-22 09:58:07 | INFO     | [入库] poi_id=01abd234-02f4-4295-acc2-33bfcd05775d 机关单位/垂直管理部门 rgb(240,0,86)/190000
2026-05-22 09:58:07 | INFO     | [记录] 
2026-05-22 09:58:07 | INFO     | SPOT: 雅达体育公园 | 江苏省/无锡市/宜兴市/湖父镇
2026-05-22 09:58:08 | INFO     | [高德] 名称搜索已禁用
2026-05-22 09:58:56 | INFO     | [入库] poi_id=02440ef7-d6df-4549-972d-e96d7ffe4415 商业服务/商业综合体 rgb(51,187,255)/200000
2026-05-22 09:58:56 | INFO     | [记录] 
2026-05-22 09:58:56 | INFO     | SPOT: 南京国盛投资管理集团 | 江苏省/南京市/雨花台区/铁心桥街道
2026-05-22 09:58:57 | INFO     | [高德] 名称搜索已禁用
2026-05-22 09:59:00 | INFO     | [入库] poi_id=026d1f6e-aa55-49ff-90a9-72cbd5d90d10 国企平台/一级集团 rgb(255,187,51)/150000
2026-05-22 09:59:00 | INFO     | [记录] 
2026-05-22 09:59:00 | INFO     | SPOT: 餐厅 | 浙江省/杭州市/拱墅区/半山街道
2026-05-22 09:59:01 | INFO     | [高德] 名称搜索已禁用
2026-05-22 09:59:22 | INFO     | [入库] poi_id=027b1fcd-a3a7-40a9-bbbf-613c3e2b5af5 商业服务/餐饮 rgb(51,187,255)/110000
2026-05-22 09:59:22 | INFO     | [记录] 
